Payee,Paid_By,Payment_Amount,Payment_Date,Payee_Type,Payee_Address,City_State_Zip,Payment_Year,Expenditure_Type,Date_Reported,Report_Filed,Expense_Description,Travel_Outside_Texas,Political_Obligation,Reimbursement_Intended,Correction,View_Report,TRANSACTION_ID
"Wilkison, Birk","Gauldin, Natalie B.",$675.00,07/01/2016,Individual,301 Palomino Pl,"Liberty Hill, TX, 78642-3910",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Salaries/Wages/Contract Labor | Wages,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264522),R20161012171606-F0061
"Wilkison, Birk","Gauldin, Natalie B.",$675.00,07/08/2016,Individual,301 Palomino Pl,"Liberty Hill, TX, 78642-3910",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Salaries/Wages/Contract Labor | Wages,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264522),R20161012171606-F0062
"Wilkison, Birk","Gauldin, Natalie B.",$675.00,07/29/2016,Individual,301 Palomino Pl,"Liberty Hill, TX, 78642-3910",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Salaries/Wages/Contract Labor | Wages,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264522),R20161012171606-F0064
"Wilkison, Birk","Gauldin, Natalie B.",$675.00,08/09/2016,Individual,301 Palomino Pl,"Liberty Hill, TX, 78642-3910",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Salaries/Wages/Contract Labor | Wages,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264522),R20161012171606-F0065
"Williams, Antonio","Gauldin, Natalie B.",$210.00,07/08/2016,Individual,5004 Golden Wheat Ln,"Mckinney, TX, 75070-4697",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Salaries/Wages/Contract Labor | Wages,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264522),R20161012171606-F0066
Worley Printing,"Gauldin, Natalie B.",$700.38,07/15/2016,Entity,3217 N Interstate 35,"Austin, TX, 78722-2203",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Printing Expense | Printing,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264522),R20161012171606-F0067
Worley Printing,"Gauldin, Natalie B.",$328.00,07/26/2016,Entity,3217 N Interstate 35,"Austin, TX, 78722-2203",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Printing Expense | Printing,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264522),R20161012171606-F0068
Worley Printing,"Gauldin, Natalie B.",$3500.00,08/08/2016,Entity,3217 N Interstate 35,"Austin, TX, 78722-2203",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Printing Expense | Printing,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264522),R20161012171606-F0069
Worley Printing,"Gauldin, Natalie B.",$5042.69,09/07/2016,Entity,3217 N Interstate 35,"Austin, TX, 78722-2203",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Printing Expense | Printing,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264522),R20161012171606-F0070
Worley Printing,"Gauldin, Natalie B.",$73.61,09/27/2016,Entity,3217 N Interstate 35,"Austin, TX, 78722-2203",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Printing Expense | Printing,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264522),R20161012171606-F0071
"Davidson, Donna Garcia","Gauldin, Natalie B.",$330.00,08/18/2016,Individual,PO Box 12131,"Austin, TX, 78711-2131",2016,Unpaid Incurred Obligation,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Legal Services | Invoice For Legal Services For Campaign,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264522),R20161012171606-F0072
DSL Extreme,"Herrin III, Louis C.",$24.99,10/03/2016,Entity,"21540 Plummer Street, Suite A","Chatsworth, CA, 91311",2016,Political Expenditure Made from Personal Funds,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Advertising Expense,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264495),R20161012171721-F0003
Horizon Printing,Home Builders Association of Greater Austin HOME-PAC Corporate,$57.92,08/31/2016,Entity,2111 Grand Ave Ppkwy,"Austin, TX, 78728",2016,Political Expenditure from Political Contributions,10/11/2016,GPAC: General-Purpose Committee Campaign Finance Report,Printing Expense | Postage for EON Save the Date Mailing,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264525),R20161012171903-F0001
Horizon Printing,Home Builders Association of Greater Austin HOME-PAC Corporate,$57.23,08/31/2016,Entity,2111 Grand Ave Ppkwy,"Austin, TX, 78728",2016,Political Expenditure from Political Contributions,10/11/2016,GPAC: General-Purpose Committee Campaign Finance Report,Printing Expense | Elected Officials Night Postcard Mailing,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264525),R20161012171903-F0002
"Gallaher, Scot",Stonewall Democrats of Austin,$100.00,01/29/2016,Individual,P. O. Box 8144,"Austin, TX, 78713-8144",2016,Political Expenditure from Political Contributions,07/15/2016,GPAC: General-Purpose Committee Campaign Finance Report,Contributions/Donations Made By Candidate/Officeholder/Political Committee | Contribution,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258187),R20160715174520-F0013
Chez Zee,"Alter, Alison B.",$1292.10,08/30/2016,Entity,5406 Balcones Dr.,"Austin, TX, 78731",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Event Expense | Kickoff,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264527),R20161012165506-F0016
Horizon Printing,Home Builders Association of Greater Austin HOME-PAC Corporate,$559.65,08/31/2016,Entity,2111 Grand Ave Ppkwy,"Austin, TX, 78728",2016,Political Expenditure from Political Contributions,10/11/2016,GPAC: General-Purpose Committee Campaign Finance Report,Printing Expense | Elected Officials Night invitation,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264525),R20161012171903-F0003
Horizon Printing,Home Builders Association of Greater Austin HOME-PAC Corporate,$321.50,09/29/2016,Entity,2111 Grand Ave Ppkwy,"Austin, TX, 78728",2016,Political Expenditure from Political Contributions,10/11/2016,GPAC: General-Purpose Committee Campaign Finance Report,Printing Expense | Mail Services,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264525),R20161012171903-F0004
Move Austin Forward,Home Builders Association of Greater Austin HOME-PAC Corporate,$7500.00,08/25/2016,Entity,PO Box 302854,"Austin, TX, 78703",2016,Political Expenditure from Political Contributions,10/11/2016,GPAC: General-Purpose Committee Campaign Finance Report,Contributions/Donations Made By Candidate/Officeholder/Political Committee | Contribution to Move Austin Forward PAC,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264525),R20161012171903-F0005
Texas Ethics Commission,Home Builders Association of Greater Austin HOME-PAC Corporate,$100.00,08/19/2016,Entity,PO Box 12070,"Austin, TX, 78711",2016,Political Expenditure from Political Contributions,10/11/2016,GPAC: General-Purpose Committee Campaign Finance Report,Fees | Fine related to late filing of filer ID no. 00016260,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264525),R20161012171903-F0006
Austinites for Zimmerman,Home Builders Association of Greater Austin HOME-PAC Personal,$350.00,07/28/2016,Entity,"13492 Research Blvd, #120-141","Austin, TX, 78750",2016,Political Expenditure from Political Contributions,10/11/2016,GPAC: General-Purpose Committee Campaign Finance Report,Contributions/Donations Made By Candidate/Officeholder/Political Committee | Campaign Contribution,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264524),R20161012171932-F0001
Brad Marshall Campaign,Home Builders Association of Greater Austin HOME-PAC Personal,$500.00,07/28/2016,Entity,224 Settlers Valley Drive,"Pflugerville, TX, 78660",2016,Political Expenditure from Political Contributions,10/11/2016,GPAC: General-Purpose Committee Campaign Finance Report,Contributions/Donations Made By Candidate/Officeholder/Political Committee | Campaign Contribution,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264524),R20161012171932-F0002
HomePac of the Texas Assn. of Builders,Home Builders Association of Greater Austin HOME-PAC Personal,$5000.00,07/28/2016,Entity,"313 E. 12th Street, Suite 210","Austin, TX, 78701",2016,Political Expenditure from Political Contributions,10/11/2016,GPAC: General-Purpose Committee Campaign Finance Report,Contributions/Donations Made By Candidate/Officeholder/Political Committee | PAC Contribution,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264524),R20161012171932-F0003
Jimmy Flannigan for Austin City Council,Home Builders Association of Greater Austin HOME-PAC Personal,$350.00,07/28/2016,Entity,PO Box 2649,"Austin, TX, 78768",2016,Political Expenditure from Political Contributions,10/11/2016,GPAC: General-Purpose Committee Campaign Finance Report,Contributions/Donations Made By Candidate/Officeholder/Political Committee | Campaign Contribution,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264524),R20161012171932-F0004
Natalie Gauldin Campaign,Home Builders Association of Greater Austin HOME-PAC Personal,$350.00,07/28/2016,Entity,"3616 Far West Blvd, #117-585","Austin, TX, 78731",2016,Political Expenditure from Political Contributions,10/11/2016,GPAC: General-Purpose Committee Campaign Finance Report,Contributions/Donations Made By Candidate/Officeholder/Political Committee | Campaign Contribution,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264524),R20161012171932-F0005
Sheri Gallo Campaign,Home Builders Association of Greater Austin HOME-PAC Personal,$350.00,07/28/2016,Entity,PO Box 26801,"Austin, TX, 78755",2016,Political Expenditure from Political Contributions,10/11/2016,GPAC: General-Purpose Committee Campaign Finance Report,Contributions/Donations Made By Candidate/Officeholder/Political Committee | Campaign Contribution,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264524),R20161012171932-F0006
"Gibbons, Heidi","Pool, Leslie",$158.62,08/15/2016,Individual,613 Hearn St,"Austin, TX, 78703-4517",2016,Political Expenditure from Political Contributions,10/10/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Solicitation/Fundraising Expense | reimburse - postage and office supplies,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264523),R20161012172121-F0001
"Gibbons, Heidi","Pool, Leslie",$17.63,08/17/2016,Individual,613 Hearn St,"Austin, TX, 78703-4517",2016,Political Expenditure from Political Contributions,10/10/2016,C/OH: Candidate/Officeholder Campaign Finance Report,"Solicitation/Fundraising Expense | reimburse - name tags, paper",,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264523),R20161012172121-F0002
"Gibbons, Heidi","Pool, Leslie",$1500.00,09/03/2016,Individual,613 Hearn St,"Austin, TX, 78703-4517",2016,Political Expenditure from Political Contributions,10/10/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Solicitation/Fundraising Expense | stipend for services,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264523),R20161012172121-F0003
"Gibbons, Heidi","Pool, Leslie",$69.71,09/03/2016,Individual,613 Hearn St,"Austin, TX, 78703-4517",2016,Political Expenditure from Political Contributions,10/10/2016,C/OH: Candidate/Officeholder Campaign Finance Report,"Solicitation/Fundraising Expense | office supplies, stamps",,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264523),R20161012172121-F0004
"Lewis, Fred","Pool, Leslie",$300.00,08/09/2016,Individual,4509 Edgemont Dr,"Austin, TX, 78731-5223",2016,Political Expenditure from Political Contributions,10/10/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Solicitation/Fundraising Expense | refund contribution over max $25/person (lobby),,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264523),R20161012172121-F0005
Worley Printing,"Pool, Leslie",$1398.56,08/12/2016,Entity,"3217 N Interstate 35 Frontage Rd,","Austin, TX, 78722",2016,Political Expenditure from Political Contributions,10/10/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Printing Expense | printing - flyers,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264523),R20161012172121-F0007
Worley Printing,"Pool, Leslie",$303.50,09/08/2016,Entity,"3217 N Interstate 35 Frontage Rd,","Austin, TX, 78722",2016,Political Expenditure from Political Contributions,10/10/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Printing Expense | house party flyer/invite,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264523),R20161012172121-F0008
Worley Printing,"Pool, Leslie",$585.78,09/23/2016,Entity,"3217 N Interstate 35 Frontage Rd,","Austin, TX, 78722",2016,Political Expenditure from Political Contributions,10/10/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Printing Expense | printing event invites,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264523),R20161012172121-F0009
City of Austin,"Pool, Leslie",$500.00,08/17/2016,Entity,301 W 2nd St,"Austin, TX, 78701-4652",2016,Political Expenditure from Political Contributions,10/10/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Fees | ballot access,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264523),R20161012172121-F0010
Austin AFL-CIO,"Pool, Leslie",$215.00,08/26/2016,Entity,PO Box 301074,"Austin, TX, 78703-0018",2016,Political Expenditure from Political Contributions,10/10/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Advertising Expense | ad in Labor Day program,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264523),R20161012172121-F0011
Rindy Miller Media,"Pool, Leslie",$2325.60,09/02/2016,Entity,2401 E 6th St,"Austin, TX, 78702-3975",2016,Political Expenditure from Political Contributions,10/10/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Consulting Expense | media consulting,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264523),R20161012172121-F0012
Rindy Miller Media,"Pool, Leslie",$1825.00,07/20/2016,Entity,2401 E 6th St,"Austin, TX, 78702-3975",2016,Political Expenditure from Political Contributions,10/10/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Consulting Expense | media consulting,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264523),R20161012172121-F0013
InFocus Campaigns,"Pool, Leslie",$267.92,09/08/2016,Entity,PO Box 10726,"Fort Worth, TX, 76114-0726",2016,Political Expenditure from Political Contributions,10/10/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Printing Expense | kick-off reminders,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264523),R20161012172121-F0014
"Bray, Timothy","Gauldin, Natalie B.",$675.00,07/13/2016,Individual,4801 Placid Pl,"Austin, TX, 78731-5518",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Salaries/Wages/Contract Labor | Wages,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264522),R20161012171606-F0011
Casa Chapala,"Pool, Leslie",$501.46,09/14/2016,Entity,9041 Research Blvd Suite 100,"Austin, TX, 78701",2016,Political Expenditure from Political Contributions,10/10/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Food/Beverage Expense | campaign kick-off party,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264523),R20161012172121-F0015
Facebook,"Pool, Leslie",$5.00,09/07/2016,Entity,One Hacker Way,"Menlo Park, CA, 94025",2016,Political Expenditure from Political Contributions,10/10/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Advertising Expense | boost kickoff invite post,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264523),R20161012172121-F0016
CheckMark Typesetting,"Pool, Leslie",$198.10,08/25/2016,Entity,3217 N Interstate 35,"Austin, TX, 78722-2203",2016,Political Expenditure from Political Contributions,10/10/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Printing Expense | lapel stickers,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264523),R20161012172121-F0017
Sage Payment Solutions,"Pool, Leslie",$575.10,07/05/2016,Entity,"12120 Sunset Hills Road, Suite 500","Reston, VA, 20190",2016,Political Expenditure from Political Contributions,10/10/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Fees | bankcard fees,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264523),R20161012172121-F0018
Sage Payment Solutions,"Pool, Leslie",$219.56,08/05/2016,Entity,"12120 Sunset Hills Road, Suite 500","Reston, VA, 20190",2016,Political Expenditure from Political Contributions,10/10/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Fees | bankcard fees,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264523),R20161012172121-F0019
Sage Payment Solutions,"Pool, Leslie",$299.30,09/06/2016,Entity,"12120 Sunset Hills Road, Suite 500","Reston, VA, 20190",2016,Political Expenditure from Political Contributions,10/10/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Fees | bankcard fees,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264523),R20161012172121-F0020
American Printing & Mailing,Austin Forward,$714.45,09/25/2016,Entity,"1606 Headway Cir, Ste 100","Austin, TX, 78754-5152",2016,Political Expenditure from Political Contributions,10/11/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,ADVERTISE,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264537),R20161013171400-F0001
Arrow,Austin Forward,$4416.60,08/10/2016,Entity,"610 Brazos St, Ste 500","Austin, TX, 78701-3284",2016,Political Expenditure from Political Contributions,10/11/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,OVERHEAD,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264537),R20161013171400-F0003
Austin B-Cycle,Austin Forward,$20316.45,09/20/2016,Entity,"1000 Brazos St, Ste 100","Austin, TX, 78701-2352",2016,Political Expenditure from Political Contributions,10/11/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,ADVERTISE,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264537),R20161013171400-F0006
Austin Pride,Austin Forward,$147.36,08/26/2016,Entity,PO Box 162924,"Austin, TX, 78716-2924",2016,Political Expenditure from Political Contributions,10/11/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,EVENT,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264537),R20161013171400-F0007
Austin Tejano Democrats,Austin Forward,$100.00,08/25/2016,Entity,2910 S Congress Ave,"Austin, TX, 78704-6424",2016,Political Expenditure from Political Contributions,10/11/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,ADVERTISE,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264537),R20161013171400-F0008
Check Mark Typesetting,Austin Forward,$815.12,09/09/2016,Entity,3217 N Interstate 35,"Austin, TX, 78722-2203",2016,Political Expenditure from Political Contributions,10/11/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,PRINTING,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264537),R20161013171400-F0009
Check Mark Typesetting,Austin Forward,$4783.96,09/29/2016,Entity,3217 N Interstate 35,"Austin, TX, 78722-2203",2016,Political Expenditure from Political Contributions,10/11/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,PRINTING,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264537),R20161013171400-F0010
"Goodfriend, Sarah",Stonewall Democrats of Austin,$500.00,02/06/2016,Individual,1500 W. 24th St,"Austin, TX, 78703-2404",2016,Political Expenditure from Political Contributions,07/15/2016,GPAC: General-Purpose Committee Campaign Finance Report,Event Expense | Reimbursement,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258187),R20160715174520-F0014
"Schmacher, Rick",Stonewall Democrats of Austin,$100.00,01/29/2016,Individual,1303 July Dr,"Austin, TX, 78753-2923",2016,Political Expenditure from Political Contributions,07/15/2016,GPAC: General-Purpose Committee Campaign Finance Report,Contributions/Donations Made By Candidate/Officeholder/Political Committee | Contribution,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258187),R20160715174520-F0018
Papa John's Pizza,Austin Forward,$58.96,09/29/2016,Entity,8106 Brodie Ln,"Austin, TX, 78745",2016,,10/03/2016,ATX_1: Independent Expenditures not by a Candidate,Food/Beverage Expense,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=263980),R20161004101619-F0023
Austin PAC Forward,Austin Apartment Association PAC,$15000.00,09/08/2016,Entity,"2121 S. Lamar Blvd, Suite 100","Austin, TX, 78704",2016,Political Expenditure from Political Contributions,10/05/2016,MPAC: Monthly Filing General-Purpose Committee Campaign Finance Report,Contribution,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264055),R20161005125901-F0003
Cothron Safe & Lock Inc.,Austin Forward,$97.42,09/19/2016,Entity,"8120 Exchange Dr, Ste 100","Austin, TX, 78754-5234",2016,Political Expenditure from Political Contributions,10/11/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,OVERHEAD,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264537),R20161013171400-F0011
Craigs List,Austin Forward,$35.00,09/25/2016,Entity,"222 Sutter St, Fl 9","San Francisco, CA, 94108-4460",2016,Political Expenditure from Political Contributions,10/11/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,ADVERTISE,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264537),R20161013171400-F0012
Creative Civilization,Austin Forward,$5000.00,08/31/2016,Entity,1412 W 6th St,"Austin, TX, 78703-5139",2016,Political Expenditure from Political Contributions,10/11/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,CONSULT,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264537),R20161013171400-F0013
Creative Civilization,Austin Forward,$5000.00,09/25/2016,Entity,1412 W 6th St,"Austin, TX, 78703-5139",2016,Political Expenditure from Political Contributions,10/11/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,ADVERTISE,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264537),R20161013171400-F0014
Cricket Wireless,Austin Forward,$250.00,09/16/2016,Entity,"529 W Oltorf St, Ste A1","Austin, TX, 78704-5447",2016,Political Expenditure from Political Contributions,10/11/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,OVERHEAD,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264537),R20161013171400-F0017
Cricket Wireless,Austin Forward,$450.00,09/20/2016,Entity,"529 W Oltorf St, Ste A1","Austin, TX, 78704-5447",2016,Political Expenditure from Political Contributions,10/11/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,OVERHEAD,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264537),R20161013171400-F0018
FedEx Office,Austin Forward,$48.51,07/26/2016,Entity,327 Congress Ave,"Austin, TX, 78701-4058",2016,Political Expenditure from Political Contributions,10/11/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,PRINTING,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264537),R20161013171400-F0022
FedEx Office,Austin Forward,$6.43,09/07/2016,Entity,327 Congress Ave,"Austin, TX, 78701-4058",2016,Political Expenditure from Political Contributions,10/11/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,PRINTING,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264537),R20161013171400-F0023
FedEx Office,Austin Forward,$67.89,09/07/2016,Entity,327 Congress Ave,"Austin, TX, 78701-4058",2016,Political Expenditure from Political Contributions,10/11/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,PRINTING,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264537),R20161013171400-F0024
FedEx Office,Austin Forward,$0.65,09/07/2016,Entity,327 Congress Ave,"Austin, TX, 78701-4058",2016,Political Expenditure from Political Contributions,10/11/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,PRINTING,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264537),R20161013171400-F0025
FedEx Office,Austin Forward,$27.28,09/08/2016,Entity,327 Congress Ave,"Austin, TX, 78701-4058",2016,Political Expenditure from Political Contributions,10/11/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,PRINTING,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264537),R20161013171400-F0026
Fry's,Austin Forward,$108.24,08/12/2016,Entity,12707 N Mo Pac Expy,"Austin, TX, 78727-4229",2016,Political Expenditure from Political Contributions,10/11/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,OVERHEAD,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264537),R20161013171400-F0030
Fry's,Austin Forward,$1183.94,08/17/2016,Entity,12707 N Mo Pac Expy,"Austin, TX, 78727-4229",2016,Political Expenditure from Political Contributions,10/11/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,OVERHEAD,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264537),R20161013171400-F0031
GNI Consulting,Austin Forward,$1125.00,08/08/2016,Entity,P.O. Box 3685008,"Austin, TX, 78701",2016,Political Expenditure from Political Contributions,10/11/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,CONSULT,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264537),R20161013171400-F0032
GNI Consulting,Austin Forward,$2250.00,09/08/2016,Entity,P.O. Box 3685008,"Austin, TX, 78701",2016,Political Expenditure from Political Contributions,10/11/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,CONSULT,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264537),R20161013171400-F0033
GoDaddy.com,Austin Forward,$130.67,08/29/2016,Entity,"14455 N Hayden Rd, Ste 226","Scottsdale, AZ, 85260-6993",2016,Political Expenditure from Political Contributions,10/11/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,OVERHEAD,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264537),R20161013171400-F0034
Intuit,Austin Forward,$20.79,08/11/2016,Entity,"2632 Marine Way, Ms 2675","Mountain View, CA, 94043-1126",2016,Political Expenditure from Political Contributions,10/11/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,ACCOUNT,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264537),R20161013171400-F0040
Intuit,Austin Forward,$15.46,08/11/2016,Entity,"2632 Marine Way, Ms 2675","Mountain View, CA, 94043-1126",2016,Political Expenditure from Political Contributions,10/11/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,ACCOUNT,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264537),R20161013171400-F0041
Intuit,Austin Forward,$27.18,09/12/2016,Entity,"2632 Marine Way, Ms 2675","Mountain View, CA, 94043-1126",2016,Political Expenditure from Political Contributions,10/11/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,ACCOUNT,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264537),R20161013171400-F0042
Intuit,Austin Forward,$20.79,09/09/2016,Entity,"2632 Marine Way, Ms 2675","Mountain View, CA, 94043-1126",2016,Political Expenditure from Political Contributions,10/11/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,ACCOUNT,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264537),R20161013171400-F0043
